name;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
'unknown';0.010000;7.928639e+01;2.600192e-01;2.407578e-01
'unknown';0.020000;1.596492e+02;5.237772e-01;3.545289e-01
'unknown';0.030000;2.464039e+02;7.886783e-01;3.847904e-01
'unknown';0.040000;2.580768e+02;7.784246e-01;3.391491e-01
'unknown';0.050000;2.810509e+02;7.810848e-01;1.793656e-01
'unknown';0.060000;3.061163e+02;7.974191e-01;1.370593e-01
'unknown';0.070000;3.268040e+02;8.308321e-01;3.606167e-01
'unknown';0.080000;3.299887e+02;8.480811e-01;5.490487e-01
'unknown';0.090000;3.243684e+02;8.433655e-01;6.302359e-01
'unknown';0.100000;3.181298e+02;8.305168e-01;6.692004e-01
'unknown';0.110000;3.193686e+02;8.082023e-01;7.296346e-01
'unknown';0.120000;3.054114e+02;7.688249e-01;7.780710e-01
'unknown';0.130000;3.063374e+02;7.407739e-01;6.973610e-01
'unknown';0.140000;3.086019e+02;7.433897e-01;4.682398e-01
'unknown';0.150000;3.257783e+02;7.538053e-01;4.080415e-01
'unknown';0.160000;2.194438e+02;7.396691e-01;2.973614e-01
'unknown';0.170000;2.136080e+02;7.129032e-01;2.848752e-01
'unknown';0.180000;2.085500e+02;7.260534e-01;2.075261e-01
'unknown';0.190000;3.163824e+02;7.441365e-01;1.453677e-01
'unknown';0.200000;3.228808e+02;7.581689e-01;1.306331e-01
'unknown';0.210000;2.185198e+02;7.161286e-01;1.243343e-01
'unknown';0.220000;2.030162e+02;7.179789e-01;9.077561e-02
'unknown';0.230000;1.876603e+02;7.453654e-01;9.677150e-02
'unknown';0.240000;2.841208e+02;8.126138e-01;1.010931e-01
'unknown';0.250000;2.884043e+02;8.542941e-01;1.795868e-01
'unknown';0.260000;2.890901e+02;8.620551e-01;2.307020e-01
'unknown';0.270000;2.870100e+02;8.556075e-01;3.808939e-01
'unknown';0.280000;2.831211e+02;8.348384e-01;6.050377e-01
'unknown';0.290000;2.790537e+02;7.897491e-01;7.918388e-01
'unknown';0.300000;2.766084e+02;7.816194e-01;6.732207e-01
'unknown';0.310000;2.756625e+02;7.722631e-01;3.642450e-01
'unknown';0.320000;2.798813e+02;7.730169e-01;1.927177e-01
'unknown';0.330000;2.195283e+02;7.363381e-01;2.024088e-01
'unknown';0.340000;1.277509e+02;6.929140e-01;2.344031e-01
'unknown';0.350000;3.158221e+01;6.685848e-01;2.457679e-01
'unknown';0.360000;0;6.427788e-01;2.654898e-01
'unknown';0.370000;1.018531e+02;6.819933e-01;2.572209e-01
'unknown';0.380000;2.095818e+02;7.548822e-01;2.026987e-01
'unknown';0.390000;3.181043e+02;8.401553e-01;1.801152e-01
'unknown';0.400000;3.239997e+02;8.713902e-01;1.718016e-01
'unknown';0.410000;3.187115e+02;8.667678e-01;4.551102e-01
'unknown';0.420000;3.102191e+02;8.679240e-01;7.343204e-01
'unknown';0.430000;3.012416e+02;8.792210e-01;9.034426e-01
'unknown';0.440000;2.967628e+02;8.901858e-01;7.558481e-01
'unknown';0.450000;2.946825e+02;8.909780e-01;5.146390e-01
'unknown';0.460000;2.939082e+02;8.835950e-01;5.313169e-01
'unknown';0.470000;2.938186e+02;8.707309e-01;5.667134e-01
'unknown';0.480000;2.938152e+02;8.437644e-01;5.306672e-01
'unknown';0.490000;1.958186e+02;7.847886e-01;5.260587e-01
'unknown';0.500000;9.794657e+01;7.254140e-01;4.351100e-01
'unknown';0.510000;0;6.746259e-01;4.375736e-01
'unknown';0.520000;0;4.430311e-01;3.443582e-01
'unknown';0.530000;0;4.407555e-01;2.797257e-01
'unknown';0.540000;0;4.464878e-01;2.071574e-01
'unknown';0.550000;0;6.614773e-01;1.458172e-01
'unknown';0.560000;0;6.513967e-01;1.216315e-01
'unknown';0.570000;8.153399e+01;6.892645e-01;1.130974e-01
'unknown';0.580000;1.625531e+02;7.550966e-01;9.385946e-02
'unknown';0.590000;2.430338e+02;8.237875e-01;1.296431e-01
'unknown';0.600000;2.384647e+02;8.452413e-01;1.918353e-01
'unknown';0.610000;2.333151e+02;8.570437e-01;2.778383e-01
'unknown';0.620000;2.282027e+02;8.726131e-01;2.749008e-01
'unknown';0.630000;2.261588e+02;8.883257e-01;3.265710e-01
'unknown';0.640000;2.248129e+02;8.946393e-01;4.331840e-01
'unknown';0.650000;2.236608e+02;8.977053e-01;6.095871e-01
'unknown';0.660000;2.226789e+02;8.987868e-01;8.164104e-01
'unknown';0.670000;2.219499e+02;8.978984e-01;8.205627e-01
'unknown';0.680000;2.211720e+02;8.935883e-01;6.625825e-01
