name;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
'unknown';0.010000;0;2.444714e-01;5.097919e-01
'unknown';0.020000;0;2.444714e-01;4.411700e-01
'unknown';0.030000;0;4.937823e-01;3.794769e-01
'unknown';0.040000;0;2.493109e-01;4.672747e-01
'unknown';0.050000;1.762416e+01;5.000187e-01;4.753249e-01
'unknown';0.060000;3.542269e+01;5.044188e-01;4.221783e-01
'unknown';0.070000;5.316577e+01;7.538786e-01;2.301658e-01
'unknown';0.080000;5.344457e+01;7.588322e-01;1.556557e-01
'unknown';0.090000;5.445459e+01;7.618980e-01;3.333929e-01
'unknown';0.100000;3.671150e+01;5.124383e-01;3.035148e-01
'unknown';0.110000;3.648595e+01;5.101009e-01;3.747394e-01
'unknown';0.120000;3.586477e+01;5.061161e-01;1.531996e-01
'unknown';0.130000;5.461255e+01;7.592341e-01;2.988481e-01
'unknown';0.140000;5.588740e+01;7.647696e-01;2.649603e-01
'unknown';0.150000;3.770003e+01;5.119774e-01;3.178224e-01
'unknown';0.160000;3.668076e+01;5.141873e-01;2.386396e-01
'unknown';0.170000;3.580028e+01;5.091671e-01;2.523165e-01
'unknown';0.180000;3.580028e+01;5.091671e-01;3.203458e-01
'unknown';0.190000;1.807177e+01;2.538393e-01;3.278886e-01
'unknown';0.200000;0;0;4.212554e-01
'unknown';0.210000;3.339907e+01;2.347623e-01;3.514321e-01
'unknown';0.220000;6.681406e+01;4.877594e-01;3.116963e-01
'unknown';0.230000;9.989687e+01;7.444022e-01;3.362755e-01
'unknown';0.240000;9.942991e+01;7.755637e-01;2.783864e-01
'unknown';0.250000;9.884206e+01;7.842271e-01;5.387431e-01
'unknown';0.260000;9.855765e+01;7.798551e-01;3.420537e-01
'unknown';0.270000;9.847318e+01;7.605141e-01;7.710009e-01
'unknown';0.280000;9.871871e+01;7.497033e-01;7.079892e-01
'unknown';0.290000;9.905890e+01;7.451542e-01;9.673090e-01
'unknown';0.300000;1.314246e+02;7.493472e-01;6.788937e-01
'unknown';0.310000;1.637486e+02;7.430786e-01;5.760083e-01
'unknown';0.320000;1.962110e+02;7.491665e-01;3.307140e-01
'unknown';0.330000;1.965987e+02;7.450069e-01;2.891958e-01
'unknown';0.340000;1.988779e+02;7.514744e-01;4.942313e-01
'unknown';0.350000;2.011001e+02;7.589059e-01;6.670019e-01
'unknown';0.360000;2.024159e+02;7.682767e-01;6.812453e-01
'unknown';0.370000;1.690405e+02;7.655337e-01;7.251804e-01
'unknown';0.380000;1.356619e+02;7.495823e-01;7.763119e-01
'unknown';0.390000;1.383278e+02;7.499464e-01;8.351025e-01
'unknown';0.400000;1.747052e+02;7.621086e-01;8.096254e-01
'unknown';0.410000;2.113834e+02;7.842395e-01;7.034270e-01
'unknown';0.420000;2.147354e+02;7.855657e-01;8.218613e-01
'unknown';0.430000;2.169921e+02;7.866094e-01;9.851108e-01
'unknown';0.440000;2.186759e+02;7.833590e-01;1.066930e+00
'unknown';0.450000;2.185684e+02;7.921429e-01;8.300365e-01
'unknown';0.460000;2.189251e+02;7.906415e-01;4.800930e-01
'unknown';0.470000;2.197151e+02;7.861986e-01;5.561624e-01
'unknown';0.480000;2.202388e+02;7.759181e-01;7.752800e-01
'unknown';0.490000;2.202890e+02;7.783685e-01;8.345406e-01
'unknown';0.500000;2.194292e+02;7.826840e-01;9.059059e-01
'unknown';0.510000;2.184104e+02;8.035622e-01;8.018460e-01
'unknown';0.520000;2.171926e+02;8.202184e-01;1.033909e+00
'unknown';0.530000;2.165104e+02;8.272529e-01;9.106166e-01
'unknown';0.540000;2.163073e+02;8.192673e-01;1.359848e+00
'unknown';0.550000;1.803966e+02;7.990319e-01;1.296212e+00
'unknown';0.560000;1.445902e+02;7.839210e-01;1.274811e+00
'unknown';0.570000;1.446128e+02;7.811323e-01;7.519860e-01
'unknown';0.580000;1.802611e+02;7.933723e-01;4.931681e-01
'unknown';0.590000;2.156702e+02;8.137757e-01;6.355484e-01
'unknown';0.600000;2.158534e+02;8.221791e-01;9.337644e-01
'unknown';0.610000;2.166064e+02;8.214807e-01;1.280328e+00
'unknown';0.620000;2.177068e+02;8.181232e-01;1.159526e+00
'unknown';0.630000;2.180536e+02;8.170805e-01;1.048154e+00
'unknown';0.640000;2.179888e+02;8.194547e-01;7.565910e-01
'unknown';0.650000;2.181410e+02;8.170116e-01;7.275891e-01
'unknown';0.660000;2.185703e+02;8.083435e-01;7.918747e-01
'unknown';0.670000;2.186889e+02;8.048922e-01;9.440023e-01
'unknown';0.680000;2.182992e+02;8.107522e-01;1.107277e+00
'unknown';0.690000;2.177800e+02;8.253357e-01;9.394718e-01
'unknown';0.700000;2.180712e+02;8.270703e-01;8.559844e-01
'unknown';0.710000;2.185233e+02;8.240984e-01;5.952845e-01
'unknown';0.720000;2.187855e+02;8.185045e-01;6.920721e-01
'unknown';0.730000;2.188177e+02;8.229713e-01;8.217432e-01
'unknown';0.740000;2.191363e+02;8.265538e-01;7.513826e-01
'unknown';0.750000;2.194522e+02;8.258336e-01;7.473047e-01
'unknown';0.760000;2.193561e+02;8.234101e-01;5.388600e-01
'unknown';0.770000;2.188754e+02;8.145507e-01;8.284021e-01
'unknown';0.780000;2.186604e+02;8.153833e-01;7.906594e-01
'unknown';0.790000;2.188396e+02;8.154748e-01;8.947874e-01
'unknown';0.800000;2.191707e+02;8.165907e-01;7.436022e-01
'unknown';0.810000;2.193898e+02;8.023700e-01;6.497625e-01
'unknown';0.820000;1.705704e+02;7.919602e-01;6.742433e-01
'unknown';0.830000;1.217562e+02;7.789884e-01;7.249544e-01
'unknown';0.840000;7.265156e+01;7.801011e-01;6.681271e-01
'unknown';0.850000;7.238465e+01;7.739549e-01;6.779010e-01
'unknown';0.860000;4.805778e+01;5.176305e-01;7.432355e-01
'unknown';0.870000;7.275497e+01;5.132142e-01;8.397529e-01
'unknown';0.880000;9.773217e+01;5.233340e-01;5.825775e-01
'unknown';0.890000;1.467852e+02;7.782497e-01;3.934679e-01
'unknown';0.900000;1.469050e+02;7.883325e-01;3.028840e-01
'unknown';0.910000;1.471188e+02;7.792778e-01;3.737930e-01
'unknown';0.920000;1.471281e+02;7.816069e-01;2.536086e-01
'unknown';0.930000;1.465301e+02;7.875969e-01;1.574867e-01
'unknown';0.940000;1.458705e+02;7.849360e-01;1.853402e-01
'unknown';0.950000;1.451667e+02;7.924715e-01;3.076521e-01
'unknown';0.960000;1.212281e+02;7.710089e-01;6.343133e-01
'unknown';0.970000;9.704138e+01;7.617981e-01;7.441519e-01
'unknown';0.980000;7.298281e+01;7.534316e-01;1.012881e+00
'unknown';0.990000;7.308915e+01;7.589243e-01;8.954911e-01
'unknown';1.000000;7.373950e+01;7.648888e-01;7.411810e-01
'unknown';1.010000;7.426221e+01;7.675517e-01;5.414141e-01
'unknown';1.020000;7.461715e+01;7.684216e-01;4.970713e-01
'unknown';1.030000;7.432412e+01;7.736332e-01;7.623170e-01
'unknown';1.040000;7.399587e+01;7.771977e-01;8.142457e-01
'unknown';1.050000;7.369170e+01;7.771499e-01;7.854939e-01
'unknown';1.060000;7.341894e+01;7.834768e-01;6.296701e-01
'unknown';1.070000;7.321680e+01;7.814911e-01;6.395064e-01
'unknown';1.080000;7.305311e+01;7.759657e-01;6.736115e-01
'unknown';1.090000;1.417336e+02;7.654163e-01;7.197423e-01
'unknown';1.100000;2.110396e+02;7.698067e-01;5.910728e-01
'unknown';1.110000;2.804458e+02;7.887229e-01;4.670614e-01
'unknown';1.120000;2.810872e+02;8.049231e-01;2.183738e-01
'unknown';1.130000;2.810741e+02;8.036776e-01;3.200952e-01
'unknown';1.140000;2.806195e+02;7.987656e-01;4.839531e-01
'unknown';1.150000;2.799717e+02;7.957603e-01;8.214371e-01
'unknown';1.160000;2.795260e+02;7.984629e-01;9.877634e-01
'unknown';1.170000;2.797672e+02;7.947871e-01;1.232519e+00
'unknown';1.180000;2.805699e+02;7.890437e-01;1.000226e+00
