name;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
'unknown';0.010000;1.006379e+02;2.367208e-01;7.652394e-01
'unknown';0.020000;1.949700e+02;4.875827e-01;7.575824e-01
'unknown';0.030000;2.891533e+02;7.515850e-01;6.591554e-01
'unknown';0.040000;2.811882e+02;7.550672e-01;3.591186e-01
'unknown';0.050000;2.795822e+02;7.502099e-01;2.148406e-01
'unknown';0.060000;1.853989e+02;7.168851e-01;1.905884e-01
'unknown';0.070000;1.788256e+02;7.219540e-01;1.921263e-01
'unknown';0.080000;1.726801e+02;7.268212e-01;2.106166e-01
'unknown';0.090000;2.613073e+02;7.410607e-01;2.645392e-01
'unknown';0.100000;2.650810e+02;7.400426e-01;3.682518e-01
'unknown';0.110000;2.844832e+02;7.451053e-01;4.308234e-01
'unknown';0.120000;3.038410e+02;7.799370e-01;4.191207e-01
'unknown';0.130000;3.218515e+02;8.214517e-01;4.327133e-01
'unknown';0.140000;3.232624e+02;8.450531e-01;6.085119e-01
'unknown';0.150000;3.070741e+02;8.455958e-01;5.920844e-01
'unknown';0.160000;2.908671e+02;8.518264e-01;7.516427e-01
'unknown';0.170000;2.760186e+02;8.603385e-01;5.785616e-01
'unknown';0.180000;2.765519e+02;8.621063e-01;6.253881e-01
'unknown';0.190000;2.755703e+02;8.424589e-01;6.910882e-01
'unknown';0.200000;2.752033e+02;8.113196e-01;7.414880e-01
'unknown';0.210000;1.828732e+02;7.582986e-01;8.809269e-01
'unknown';0.220000;9.217828e+01;7.143138e-01;6.277598e-01
'unknown';0.230000;8.522404e+01;7.159758e-01;5.285363e-01
'unknown';0.240000;1.742372e+02;7.683167e-01;3.981089e-01
'unknown';0.250000;2.640939e+02;8.291051e-01;3.098640e-01
'unknown';0.260000;2.682624e+02;8.544232e-01;3.769021e-01
'unknown';0.270000;2.684506e+02;8.333523e-01;3.125496e-01
'unknown';0.280000;2.641658e+02;7.882590e-01;6.139224e-01
'unknown';0.290000;2.613414e+02;7.779190e-01;6.507300e-01
'unknown';0.300000;2.623156e+02;8.076978e-01;6.152771e-01
'unknown';0.310000;2.671814e+02;8.526257e-01;4.848652e-01
'unknown';0.320000;2.702592e+02;8.655121e-01;6.374195e-01
'unknown';0.330000;2.691767e+02;8.600772e-01;8.082454e-01
'unknown';0.340000;2.671872e+02;8.496634e-01;8.557828e-01
'unknown';0.350000;2.654710e+02;8.297752e-01;8.627040e-01
'unknown';0.360000;2.646302e+02;7.935354e-01;8.176115e-01
'unknown';0.370000;2.135942e+02;7.511018e-01;7.409933e-01
'unknown';0.380000;1.256645e+02;7.073383e-01;4.076922e-01
'unknown';0.390000;3.741217e+01;6.713996e-01;2.298055e-01
'unknown';0.400000;0;6.504388e-01;1.397174e-01
'unknown';0.410000;0;6.477611e-01;1.856210e-01
'unknown';0.420000;1.540343e+02;6.733629e-01;2.311387e-01
'unknown';0.430000;3.197755e+02;7.151745e-01;2.926768e-01
'unknown';0.440000;4.838399e+02;7.601199e-01;4.234353e-01
'unknown';0.450000;4.973480e+02;7.735508e-01;5.001387e-01
'unknown';0.460000;5.082736e+02;7.830989e-01;4.568854e-01
'unknown';0.470000;5.215659e+02;7.775096e-01;4.059092e-01
'unknown';0.480000;5.437238e+02;7.653730e-01;3.092535e-01
'unknown';0.490000;3.670570e+02;7.177658e-01;4.215409e-01
'unknown';0.500000;1.897003e+02;6.928699e-01;2.917894e-01
'unknown';0.510000;0;6.742932e-01;2.866935e-01
'unknown';0.520000;0;6.583385e-01;2.382833e-01
'unknown';0.530000;0;6.242684e-01;2.796568e-01
'unknown';0.540000;0;6.134314e-01;3.276424e-01
'unknown';0.550000;0;6.124631e-01;2.436167e-01
