name;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
'unknown';0.010000;5.954683e+01;2.374599e-01;8.072119e-01
'unknown';0.020000;1.184236e+02;4.909389e-01;5.413645e-01
'unknown';0.030000;1.777836e+02;7.253003e-01;4.078148e-01
'unknown';0.040000;1.182368e+02;7.204978e-01;3.613667e-01
'unknown';0.050000;5.936006e+01;6.914708e-01;5.372004e-01
'unknown';0.060000;0;6.926053e-01;5.656809e-01
'unknown';0.070000;0;6.910326e-01;5.407573e-01
'unknown';0.080000;0;6.946762e-01;4.023478e-01
'unknown';0.090000;0;6.896356e-01;2.534431e-01
'unknown';0.100000;0;6.909221e-01;2.270180e-01
'unknown';0.110000;0;7.026017e-01;2.470760e-01
'unknown';0.120000;0;7.042921e-01;2.781371e-01
'unknown';0.130000;0;6.996911e-01;3.782461e-01
'unknown';0.140000;0;6.910089e-01;4.206531e-01
'unknown';0.150000;0;6.849518e-01;4.110456e-01
'unknown';0.160000;0;6.886527e-01;3.136660e-01
'unknown';0.170000;0;4.575597e-01;3.250714e-01
'unknown';0.180000;0;4.616158e-01;2.742662e-01
'unknown';0.190000;0;4.598770e-01;2.614819e-01
'unknown';0.200000;0;6.909882e-01;2.005271e-01
'unknown';0.210000;0;6.912351e-01;3.017482e-01
'unknown';0.220000;0;6.816642e-01;3.999289e-01
'unknown';0.230000;0;6.796525e-01;4.230917e-01
'unknown';0.240000;2.325701e+01;6.836167e-01;4.418981e-01
'unknown';0.250000;6.221637e+01;7.091829e-01;4.230401e-01
'unknown';0.260000;1.010059e+02;7.364519e-01;4.451332e-01
'unknown';0.270000;1.162596e+02;7.464587e-01;4.425541e-01
'unknown';0.280000;1.154099e+02;7.450240e-01;4.545467e-01
'unknown';0.290000;1.814491e+02;7.288757e-01;4.297890e-01
'unknown';0.300000;2.477671e+02;7.411625e-01;4.325685e-01
'unknown';0.310000;3.141150e+02;7.604968e-01;3.219807e-01
'unknown';0.320000;3.130618e+02;7.772408e-01;2.135325e-01
'unknown';0.330000;2.434321e+02;7.630418e-01;1.463434e-01
'unknown';0.340000;1.389745e+02;7.286470e-01;2.255033e-01
'unknown';0.350000;3.519899e+01;7.036440e-01;2.564874e-01
'unknown';0.360000;0;6.841909e-01;1.890561e-01
'unknown';0.370000;0;6.829428e-01;1.782865e-01
'unknown';0.380000;3.735617e+01;6.881530e-01;1.798486e-01
'unknown';0.390000;1.495897e+02;7.130805e-01;1.987924e-01
'unknown';0.400000;2.631203e+02;7.521504e-01;1.229804e-01
'unknown';0.410000;3.394716e+02;7.609596e-01;1.948647e-01
'unknown';0.420000;2.761414e+02;7.713364e-01;1.730859e-01
