name;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
'unknown';0.010000;9.535348e+01;2.419005e-01;4.282266e-01
'unknown';0.020000;1.841872e+02;4.918919e-01;4.918737e-01
'unknown';0.030000;2.721106e+02;7.372802e-01;6.113781e-01
'unknown';0.040000;1.767571e+02;7.102869e-01;6.155081e-01
'unknown';0.050000;8.792343e+01;6.755026e-01;5.061509e-01
'unknown';0.060000;0;6.612770e-01;4.262864e-01
'unknown';0.070000;5.468989e+01;6.867380e-01;3.291476e-01
'unknown';0.080000;1.373116e+02;7.232683e-01;3.203734e-01
'unknown';0.090000;2.198553e+02;7.329479e-01;3.027186e-01
'unknown';0.100000;1.651655e+02;7.239084e-01;2.549635e-01
'unknown';0.110000;8.254375e+01;7.016446e-01;2.729409e-01
'unknown';0.120000;1.702622e+02;7.186199e-01;3.006251e-01
'unknown';0.130000;3.406287e+02;7.395943e-01;2.946097e-01
'unknown';0.140000;4.261410e+02;7.524608e-01;2.614059e-01
'unknown';0.150000;4.419144e+02;7.330179e-01;1.372127e-01
'unknown';0.160000;3.452939e+02;7.223422e-01;1.149424e-01
'unknown';0.170000;3.335276e+02;7.198694e-01;1.893704e-01
'unknown';0.180000;1.474919e+02;6.978219e-01;3.478825e-01
'unknown';0.190000;7.374595e+01;6.706843e-01;3.757447e-01
'unknown';0.200000;0;6.576380e-01;3.309449e-01
'unknown';0.210000;0;6.821535e-01;2.749213e-01
'unknown';0.220000;0;6.927463e-01;2.621745e-01
'unknown';0.230000;8.835030e+01;7.061326e-01;2.741796e-01
'unknown';0.240000;1.743228e+02;7.238843e-01;3.000932e-01
'unknown';0.250000;2.596707e+02;7.688921e-01;3.635207e-01
'unknown';0.260000;2.130989e+02;7.712352e-01;3.758730e-01
'unknown';0.270000;2.409725e+02;7.610489e-01;3.155627e-01
'unknown';0.280000;2.694707e+02;7.598538e-01;2.992474e-01
'unknown';0.290000;3.459649e+02;7.953449e-01;2.685403e-01
'unknown';0.300000;3.548348e+02;8.268922e-01;3.034422e-01
'unknown';0.310000;3.676442e+02;8.379969e-01;4.659030e-01
'unknown';0.320000;3.146713e+02;8.426720e-01;7.151342e-01
'unknown';0.330000;2.576989e+02;8.466936e-01;9.213636e-01
'unknown';0.340000;1.967889e+02;8.447674e-01;1.013685e+00
'unknown';0.350000;1.973613e+02;8.077217e-01;7.512458e-01
'unknown';0.360000;1.895392e+02;7.838294e-01;6.366971e-01
'unknown';0.370000;1.817152e+02;7.733135e-01;5.233644e-01
'unknown';0.380000;1.739040e+02;7.913569e-01;5.272377e-01
'unknown';0.390000;1.816824e+02;7.868637e-01;4.642104e-01
'unknown';0.400000;1.894608e+02;7.675146e-01;4.289391e-01
'unknown';0.410000;2.053720e+02;7.546913e-01;3.757140e-01
'unknown';0.420000;2.147023e+02;7.659187e-01;5.110993e-01
'unknown';0.430000;2.268818e+02;7.958187e-01;5.681395e-01
'unknown';0.440000;2.308042e+02;8.309008e-01;6.528379e-01
'unknown';0.450000;2.333316e+02;8.456895e-01;4.691451e-01
'unknown';0.460000;3.085818e+02;8.502240e-01;6.901991e-01
'unknown';0.470000;3.830504e+02;8.497042e-01;8.094432e-01
'unknown';0.480000;3.794455e+02;8.537857e-01;8.960074e-01
'unknown';0.490000;2.997440e+02;8.577033e-01;6.366451e-01
'unknown';0.500000;2.195357e+02;8.590937e-01;5.573099e-01
'unknown';0.510000;2.167626e+02;8.646145e-01;4.971971e-01
'unknown';0.520000;2.127682e+02;8.654809e-01;4.693987e-01
'unknown';0.530000;2.101105e+02;8.668228e-01;5.230173e-01
'unknown';0.540000;2.102772e+02;8.645537e-01;5.768963e-01
'unknown';0.550000;2.143541e+02;8.669583e-01;7.363116e-01
'unknown';0.560000;2.197934e+02;8.643320e-01;8.733594e-01
'unknown';0.570000;2.271425e+02;8.511276e-01;8.848349e-01
'unknown';0.580000;2.398387e+02;8.383738e-01;6.744592e-01
'unknown';0.590000;2.511087e+02;8.365805e-01;4.037217e-01
'unknown';0.600000;2.609763e+02;8.452210e-01;4.910329e-01
'unknown';0.610000;2.642535e+02;8.548045e-01;6.657515e-01
'unknown';0.620000;2.675728e+02;8.653284e-01;8.316083e-01
'unknown';0.630000;2.683080e+02;8.750470e-01;6.166807e-01
'unknown';0.640000;2.676329e+02;8.775855e-01;4.768611e-01
'unknown';0.650000;2.642894e+02;8.703200e-01;4.757892e-01
'unknown';0.660000;2.602895e+02;8.580872e-01;3.999715e-01
'unknown';0.670000;2.566046e+02;8.563424e-01;4.164644e-01
'unknown';0.680000;2.555131e+02;8.587549e-01;2.634068e-01
'unknown';0.690000;2.549276e+02;8.696704e-01;2.971730e-01
'unknown';0.700000;2.538237e+02;8.745683e-01;2.610781e-01
'unknown';0.710000;2.505284e+02;8.735626e-01;3.092146e-01
'unknown';0.720000;2.464122e+02;8.674133e-01;5.172152e-01
'unknown';0.730000;2.412093e+02;8.675283e-01;5.171232e-01
'unknown';0.740000;2.376855e+02;8.736234e-01;5.217634e-01
'unknown';0.750000;2.354207e+02;8.839478e-01;3.063992e-01
'unknown';0.760000;2.348477e+02;8.889084e-01;3.925560e-01
'unknown';0.770000;3.128427e+02;8.914450e-01;4.451305e-01
'unknown';0.780000;3.931997e+02;8.889074e-01;6.185674e-01
'unknown';0.790000;4.761921e+02;8.855124e-01;6.969900e-01
'unknown';0.800000;4.851234e+02;8.843205e-01;6.195150e-01
'unknown';0.810000;4.916327e+02;8.860739e-01;7.577823e-01
'unknown';0.820000;4.959049e+02;8.868578e-01;8.637726e-01
'unknown';0.830000;4.125167e+02;8.862932e-01;8.406677e-01
'unknown';0.840000;3.284030e+02;8.835919e-01;7.781425e-01
'unknown';0.850000;2.428185e+02;8.693518e-01;6.550686e-01
'unknown';0.860000;2.377519e+02;8.293809e-01;8.273961e-01
'unknown';0.870000;2.271805e+02;7.991216e-01;8.438907e-01
'unknown';0.880000;2.179440e+02;7.953233e-01;5.867936e-01
'unknown';0.890000;2.133348e+02;8.241574e-01;4.075843e-01
'unknown';0.900000;2.157424e+02;8.484550e-01;2.535063e-01
'unknown';0.910000;2.197509e+02;8.618405e-01;5.030835e-01
'unknown';0.920000;2.237681e+02;8.689456e-01;6.254629e-01
'unknown';0.930000;2.277338e+02;8.710019e-01;5.852396e-01
