name;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
'unknown';0.010000;0;2.285045e-01;9.044122e-02
'unknown';0.020000;0;4.645215e-01;1.286923e-01
'unknown';0.030000;0;6.964250e-01;1.569829e-01
'unknown';0.040000;0;6.866953e-01;2.069404e-01
'unknown';0.050000;2.865257e+01;6.875513e-01;1.515304e-01
'unknown';0.060000;6.108661e+01;6.963849e-01;1.601774e-01
'unknown';0.070000;9.353580e+01;7.226360e-01;1.745426e-01
'unknown';0.080000;6.488323e+01;7.140736e-01;2.301483e-01
'unknown';0.090000;3.244919e+01;7.082946e-01;1.968595e-01
'unknown';0.100000;0;6.924494e-01;1.679879e-01
'unknown';0.110000;0;6.918087e-01;1.520982e-01
'unknown';0.120000;1.026724e+02;6.979478e-01;1.409779e-01
'unknown';0.130000;2.055086e+02;7.299640e-01;1.141739e-01
'unknown';0.140000;3.081007e+02;7.550191e-01;1.457436e-01
'unknown';0.150000;2.054283e+02;7.365112e-01;1.563827e-01
'unknown';0.160000;1.025922e+02;7.049175e-01;2.295355e-01
'unknown';0.170000;0;6.807496e-01;1.773082e-01
'unknown';0.180000;0;6.751488e-01;1.744445e-01
'unknown';0.190000;0;6.778608e-01;9.701136e-02
'unknown';0.200000;0;6.770080e-01;8.550265e-02
'unknown';0.210000;0;6.892578e-01;7.334966e-02
'unknown';0.220000;0;6.649433e-01;1.207507e-01
'unknown';0.230000;0;6.443730e-01;1.036698e-01
'unknown';0.240000;0;6.343820e-01;1.300896e-01
'unknown';0.250000;0;6.394815e-01;9.546464e-02
'unknown';0.260000;0;6.410869e-01;1.631819e-01
'unknown';0.270000;0;6.167753e-01;1.343997e-01
'unknown';0.280000;0;6.168237e-01;1.214077e-01
'unknown';0.290000;0;6.122059e-01;9.667250e-02
'unknown';0.300000;0;6.375001e-01;8.597562e-02
'unknown';0.310000;0;6.370657e-01;1.392620e-01
'unknown';0.320000;0;6.413924e-01;1.164194e-01
'unknown';0.330000;0;6.201410e-01;1.267089e-01
'unknown';0.340000;0;6.236386e-01;1.233481e-01
'unknown';0.350000;0;6.286397e-01;1.012617e-01
'unknown';0.360000;0;6.603887e-01;1.347313e-01
'unknown';0.370000;0;6.888719e-01;9.724600e-02
'unknown';0.380000;0;7.018040e-01;1.718537e-01
'unknown';0.390000;1.337157e+02;7.091425e-01;2.046219e-01
'unknown';0.400000;1.949472e+02;7.126226e-01;3.452273e-01
'unknown';0.410000;2.561787e+02;7.395741e-01;3.782157e-01
'unknown';0.420000;1.866957e+02;7.643551e-01;4.609284e-01
'unknown';0.430000;1.953540e+02;7.754605e-01;3.980180e-01
'unknown';0.440000;2.040123e+02;7.994879e-01;4.062955e-01
'unknown';0.450000;2.110051e+02;8.219060e-01;3.666344e-01
'unknown';0.460000;2.124865e+02;8.328663e-01;4.245174e-01
'unknown';0.470000;2.132979e+02;8.186054e-01;5.531144e-01
'unknown';0.480000;2.372440e+02;7.897872e-01;5.639122e-01
'unknown';0.490000;2.602471e+02;7.684383e-01;4.835143e-01
'unknown';0.500000;2.999545e+02;7.816876e-01;4.105220e-01
'unknown';0.510000;3.159394e+02;8.161650e-01;4.159581e-01
'unknown';0.520000;3.325812e+02;8.623240e-01;6.248991e-01
'unknown';0.530000;3.319108e+02;8.748865e-01;6.721488e-01
'unknown';0.540000;3.292739e+02;8.571509e-01;6.018240e-01
'unknown';0.550000;2.182577e+02;7.949951e-01;7.427885e-01
'unknown';0.560000;2.041017e+02;7.512993e-01;8.933732e-01
'unknown';0.570000;1.320033e+02;7.129188e-01;1.212546e+00
'unknown';0.580000;1.320033e+02;7.110975e-01;1.067079e+00
'unknown';0.590000;6.026659e+01;7.028625e-01;8.334258e-01
'unknown';0.600000;4.692609e+01;7.113548e-01;6.541703e-01
'unknown';0.610000;6.934672e+01;7.169463e-01;4.574766e-01
'unknown';0.620000;4.550122e+01;7.112935e-01;4.659224e-01
