name;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
'unknown';0.010000;0;2.199772e-01;1.470277e-01
'unknown';0.020000;0;4.519615e-01;1.524579e-01
'unknown';0.030000;0;6.727268e-01;1.269628e-01
'unknown';0.040000;2.261548e+01;6.884684e-01;1.202609e-01
'unknown';0.050000;5.017764e+01;6.908820e-01;8.215623e-02
'unknown';0.060000;8.381232e+01;7.106662e-01;1.124266e-01
'unknown';0.070000;8.092348e+01;7.104324e-01;6.207733e-02
'unknown';0.080000;5.336131e+01;7.067852e-01;1.801688e-01
'unknown';0.090000;5.276384e+01;7.213820e-01;2.313270e-01
'unknown';0.100000;6.597334e+01;7.250689e-01;3.338029e-01
'unknown';0.110000;1.411820e+02;7.376955e-01;3.568350e-01
'unknown';0.120000;1.872150e+02;7.496334e-01;4.913326e-01
'unknown';0.130000;2.328037e+02;7.701315e-01;6.386780e-01
'unknown';0.140000;1.843168e+02;7.619841e-01;7.518597e-01
'unknown';0.150000;1.052465e+02;7.038372e-01;5.492490e-01
'unknown';0.160000;2.672176e+01;6.563435e-01;3.228294e-01
'unknown';0.170000;0;6.468107e-01;1.688118e-01
'unknown';0.180000;8.438455e+01;7.157349e-01;1.547085e-01
'unknown';0.190000;1.681254e+02;7.946973e-01;2.392312e-01
'unknown';0.200000;2.506074e+02;8.605450e-01;2.251948e-01
'unknown';0.210000;2.462736e+02;8.717626e-01;5.791137e-01
'unknown';0.220000;2.411175e+02;8.721325e-01;9.248872e-01
'unknown';0.230000;2.354509e+02;8.725228e-01;1.125790e+00
'unknown';0.240000;2.310738e+02;8.713885e-01;9.840237e-01
'unknown';0.250000;2.269256e+02;8.620305e-01;1.093585e+00
'unknown';0.260000;2.245097e+02;8.267062e-01;9.684632e-01
'unknown';0.270000;1.824961e+02;7.759905e-01;8.788325e-01
'unknown';0.280000;1.419529e+02;7.284262e-01;4.236497e-01
'unknown';0.290000;6.755347e+01;6.956553e-01;3.205770e-01
'unknown';0.300000;3.389328e+01;6.827839e-01;2.198188e-01
'unknown';0.310000;0;6.728380e-01;1.412778e-01
'unknown';0.320000;0;6.730254e-01;1.274326e-01
'unknown';0.330000;0;6.672037e-01;1.207847e-01
'unknown';0.340000;0;6.554988e-01;1.560294e-01
'unknown';0.350000;0;6.353321e-01;1.120373e-01
