name;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
'unknown';0.010000;8.361050e+01;2.475075e-01;8.255742e-01
'unknown';0.020000;1.671364e+02;4.929483e-01;7.708196e-01
'unknown';0.030000;2.299498e+02;7.544322e-01;7.064591e-01
'unknown';0.040000;2.094413e+02;7.507093e-01;6.220341e-01
'unknown';0.050000;1.662475e+02;7.387592e-01;4.526864e-01
'unknown';0.060000;1.428905e+02;7.173638e-01;2.365787e-01
'unknown';0.070000;1.444433e+02;7.195797e-01;1.756810e-01
'unknown';0.080000;1.682954e+02;7.294893e-01;9.489592e-02
'unknown';0.090000;1.688927e+02;7.349631e-01;1.108670e-01
'unknown';0.100000;1.042380e+02;7.142256e-01;1.378362e-01
'unknown';0.110000;4.005384e+01;7.086923e-01;1.760262e-01
'unknown';0.120000;0;6.876146e-01;1.700446e-01
'unknown';0.130000;0;6.907267e-01;1.131026e-01
'unknown';0.140000;0;6.901218e-01;6.506521e-02
'unknown';0.150000;0;6.914439e-01;7.302674e-02
'unknown';0.160000;4.330832e+01;7.064174e-01;9.465303e-02
'unknown';0.170000;8.671212e+01;7.095771e-01;1.769561e-01
'unknown';0.180000;8.671212e+01;7.057855e-01;1.871219e-01
'unknown';0.190000;4.340380e+01;6.878595e-01;2.301709e-01
'unknown';0.200000;0;6.581419e-01;1.995128e-01
'unknown';0.210000;7.245090e+01;6.720200e-01;1.839561e-01
'unknown';0.220000;1.449131e+02;6.839664e-01;2.359037e-01
'unknown';0.230000;1.449131e+02;7.055432e-01;2.734985e-01
'unknown';0.240000;1.486306e+02;7.129501e-01;2.812220e-01
'unknown';0.250000;1.523713e+02;7.255184e-01;2.466059e-01
'unknown';0.260000;2.284058e+02;7.438741e-01;3.016656e-01
'unknown';0.270000;2.283992e+02;7.400851e-01;4.276259e-01
'unknown';0.280000;2.374319e+02;7.388635e-01;5.649274e-01
'unknown';0.290000;2.470220e+02;7.500460e-01;4.632420e-01
'unknown';0.300000;2.567572e+02;7.599460e-01;4.081384e-01
'unknown';0.310000;2.587945e+02;7.692403e-01;3.162517e-01
'unknown';0.320000;2.613286e+02;7.622960e-01;6.950905e-01
'unknown';0.330000;2.204088e+02;7.616784e-01;7.193601e-01
'unknown';0.340000;1.789078e+02;7.617158e-01;6.856337e-01
'unknown';0.350000;1.666185e+02;7.534690e-01;3.814420e-01
'unknown';0.360000;1.216412e+02;7.339689e-01;4.762285e-01
'unknown';0.370000;1.647009e+02;7.449915e-01;9.316425e-01
'unknown';0.380000;1.781208e+02;7.774441e-01;9.606009e-01
'unknown';0.390000;2.673926e+02;8.251659e-01;1.246631e+00
'unknown';0.400000;2.681646e+02;8.201900e-01;1.217000e+00
'unknown';0.410000;2.683073e+02;7.925304e-01;1.244159e+00
'unknown';0.420000;2.680499e+02;7.666985e-01;8.998614e-01
'unknown';0.430000;2.644823e+02;7.477042e-01;9.299521e-01
'unknown';0.440000;2.572981e+02;7.319171e-01;1.113562e+00
'unknown';0.450000;1.682836e+02;7.079841e-01;1.070807e+00
'unknown';0.460000;1.853028e+02;7.036579e-01;7.183051e-01
'unknown';0.470000;1.549632e+02;7.178960e-01;5.214698e-01
'unknown';0.480000;1.549632e+02;7.109620e-01;4.678505e-01
'unknown';0.490000;1.370413e+02;7.078739e-01;4.586638e-01
'unknown';0.500000;1.709391e+02;7.195218e-01;5.838220e-01
'unknown';0.510000;2.569764e+02;7.591384e-01;8.950889e-01
'unknown';0.520000;2.583886e+02;7.810509e-01;9.202662e-01
'unknown';0.530000;2.596120e+02;7.604716e-01;8.336266e-01
'unknown';0.540000;3.028238e+02;7.356514e-01;5.878779e-01
'unknown';0.550000;3.008154e+02;7.151644e-01;7.736678e-01
'unknown';0.560000;2.983228e+02;7.227123e-01;9.112702e-01
'unknown';0.570000;2.540725e+02;7.333922e-01;1.314590e+00
'unknown';0.580000;2.544157e+02;7.360588e-01;1.233230e+00
'unknown';0.590000;2.547379e+02;7.388124e-01;9.475270e-01
'unknown';0.600000;2.548213e+02;7.483702e-01;6.246571e-01
'unknown';0.610000;2.541893e+02;7.544368e-01;3.891181e-01
'unknown';0.620000;1.693302e+02;7.260688e-01;3.853738e-01
'unknown';0.630000;1.637330e+02;7.051544e-01;4.017203e-01
'unknown';0.640000;1.588563e+02;7.030821e-01;4.577591e-01
'unknown';0.650000;1.588563e+02;7.067313e-01;6.476545e-01
'unknown';0.660000;1.374055e+02;7.168417e-01;8.059323e-01
'unknown';0.670000;1.159880e+02;7.208521e-01;9.414001e-01
'unknown';0.680000;1.736103e+02;7.422028e-01;1.049098e+00
'unknown';0.690000;1.736992e+02;7.394945e-01;1.123355e+00
'unknown';0.700000;1.970983e+02;7.299454e-01;1.176632e+00
'unknown';0.710000;1.394759e+02;7.141247e-01;1.198438e+00
'unknown';0.720000;8.135287e+01;6.990039e-01;9.414347e-01
'unknown';0.730000;7.339938e+01;7.097262e-01;1.409478e+00
'unknown';0.740000;1.467537e+02;7.205806e-01;1.407517e+00
'unknown';0.750000;2.515767e+02;7.393255e-01;1.431300e+00
'unknown';0.760000;1.781773e+02;7.187858e-01;1.056117e+00
'unknown';0.770000;1.048230e+02;7.058623e-01;1.164193e+00
